report_filed_id,Report_Filed
G50,GPAC: General-Purpose Committee Campaign Finance Report
C89,COH: Candidate /Officeholder Campaign Finance Report
P61,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC
M65,MPAC: Monthly Filing General-Purpose Committee Campaign Finance Report
C38,COHFR: Candidate/Officeholder Designation Of Final Report
S60,SPAC: Specific-Purpose Committee Campaign Finance Report
I31,Independent Expenditure not by a Candidate
C11,CORCOH: Correction Affidavit For Candidate/Officeholder
C30,CORPACATX7: Correction Affidavit For Pre-Election Report Political Committees
C54,CORPAC: Correction Affidavit For Political Committee
