TRANSACTION_ID,payee_id,paid_by_id,Payment_Amount,Payment_Date,expenditure_id,Date_Reported,Report_Filed_id,expense_category_id,expense_detail_id,expense_note,Correction,View_Report,,
R20230101100715498-F00015,2335,85831,1000,2/16/2023,810,4/6/2023,G50,C815,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=406095),,
R20181010165457-F0049,4990,67419,9.72,8/15/2018,810,10/9/2018,C89,O200,S68,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307412),,
R20200116172230-F0012,4697,80130,179,7/29/2019,810,1/15/2020,C89,O200,S88, Database software,,View Report (https://services.austintexas.gov/edims/document.cfm?id=334087),,
R20200807100711014-F00006,6215,47712,2000,8/30/2020,810,10/5/2020,C89,S220,C72, campaign management,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348144),,
R20221204100714828-F00004,3942,75579,3000,12/5/2022,698,12/6/2022,P61,S220,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=398945),,
R20240701100718654-F00001,1800,77273,15,9/5/2024,810,10/7/2024,G50,F803,W43,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=438513),,
R20161011090048-F0001,9694,88157,750,10/6/2016,810,10/7/2016,S60,P971,C16, mailer canvassing,,View Report (https://services.austintexas.gov/edims/document.cfm?id=264360),,
R20230126100715294-F00001,3646,60846,58.63,1/30/2023,124,3/6/2023,M65,F803,Q37,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=404002),,
R20220701100714553-F00019,4833,69671,136.13,8/10/2022,810,10/11/2022,C89,S220,N42,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394417),,
R20190710153040-F0002,4690,57551,41.14,1/28/2019,810,7/9/2019,C89,O200,, Prior Period Obligation - Bookkeeping Services,,View Report (https://services.austintexas.gov/edims/document.cfm?id=323224),,
R20220701100714637-F00001,6753,26554,37.08,7/5/2022,124,10/11/2022,G50,F803,B64,Card fee,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394415),,
R20241027100718984-F00002,1238,26027,35.18,11/2/2024,810,11/19/2024,C38,F803,, Monthly subscription,,View Report (https://services.austintexas.gov/edims/document.cfm?id=441449),,
R20220701100714641-F00015,6182,36455,5423.08,8/31/2022,810,10/11/2022,C89,S220,, Payroll,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394421),,
R20200925100711092-F00014,8564,47712,141.79,10/22/2020,810,10/26/2020,C89,A838,D31, FB Ads,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349267),,
R20200701100711030-F00008,7113,24064,991.1,9/1/2020,810,10/5/2020,S60,A838,, Data scraping,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348167),,
R20240701100718647-F00036,4800,42049,750,7/9/2024,810,10/7/2024,C89,S220,F34,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=438509),,
R20240101100718121-F00011,8613,31670,100,3/28/2024,810,7/11/2024,C89,O834,, Refund,,View Report (https://services.austintexas.gov/edims/document.cfm?id=432212),,
R20181016110348-F0012,5470,25902,74.96,10/2/2018,810,10/15/2018,C89,E470,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307771),,
R20181010164003-F0089,8267,57551,2.3,9/10/2018,810,10/9/2018,C89,F803,, Transaction Fee,,View Report (https://services.austintexas.gov/edims/document.cfm?id=307442),,
R20211024100712986-F00006,6753,26554,53.3,12/28/2021,124,1/17/2022,G50,F803,Q37,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=375019),,
R20210701100712312-F00070,9578,38481,25,8/17/2021,810,10/4/2021,G50,A216 ,W43,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),,
R20220701100714555-F00009,1033,60312,26.63,9/2/2022,810,10/10/2022,C89,D127,, Club membership,,View Report (https://services.austintexas.gov/edims/document.cfm?id=394351),,
R20161019090857-F0001,3550,52045,50,10/15/2016,,10/18/2016,I31,O200,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=264944),,
R20220107100712987-F00003,4735,95742,1100,1/10/2022,810,1/17/2022,S60,A838,D26,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=375032),,
R20240701100718642-F00001,3942,30341,2645,8/14/2024,810,10/7/2024,C89,C815,C72, Campaign consulting,,View Report (https://services.austintexas.gov/edims/document.cfm?id=438539),,
R20220101100714206-F00032,4661,99656,1.63,6/28/2022,810,7/15/2022,C89,F803,W76,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=388206),,
R20210701100712693-F00035,8428,37373,28.1,12/19/2021,810,1/4/2022,C89,O834,S68," Stationery  ""Thank You"" cards.",,View Report (https://services.austintexas.gov/edims/document.cfm?id=374108),,
R20201025100711282-F00044,3717,80130,182.33,11/12/2020,810,1/15/2021,C11,O200,S68, PPE,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=353334),,
R20240927100718967-F00016,3942,30341,976.33,10/21/2024,810,11/21/2024,C11,S220,C16, Paid canvassing,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=441536),,
R20220930100714757-F00004,1114,65745,630.02,10/18/2022,810,11/1/2022,C89,P971,Y77,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396083),,
R20161012172121-F0020,3895,77000,299.3,9/6/2016,810,10/10/2016,C89,F803,B64,Card fees,,View Report (https://services.austintexas.gov/edims/document.cfm?id=264523),,
R20221030100715193-F00046,8917,48470,579.75,11/9/2022,810,1/17/2023,G50,A838,T69,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=401175),,
